Name,Frequency,Rank
AAo,6,6
KKo,6,12
QQo,6,18
AKs,4,24
JJo,6,28
AQs,4,34
KQs,4,38
AJs,4,42
KJs,4,46
TTo,6,50
AKo,12,56
ATs,4,68
QJs,4,72
KTs,4,76
QTs,4,80
JTs,4,84
99o,6,88
AQo,12,94
A9s,4,106
KQo,12,110
88o,6,122
K9s,4,128
T9s,4,132
A8s,4,136
Q9s,4,140
J9s,4,144
AJo,12,148
A5s,4,160
77o,6,164
A7s,4,170
KJo,12,174
A4s,4,186
A3s,4,190
A6s,4,194
QJo,12,198
66o,6,210
K8s,4,216
T8s,4,220
A2s,4,224
98s,4,228
J8s,4,232
ATo,12,236
Q8s,4,248
K7s,4,252
KTo,12,256
55o,6,268
JTo,12,274
87s,4,286
QTo,12,290
44o,6,302
33o,6,308
22o,6,314
K6s,4,320
97s,4,324
K5s,4,328
76s,4,332
T7s,4,336
K4s,4,340
K3s,4,344
K2s,4,348
Q7s,4,352
86s,4,356
65s,4,360
J7s,4,364
54s,4,368
Q6s,4,372
75s,4,376
96s,4,380
Q5s,4,384
64s,4,388
Q4s,4,392
Q3s,4,396
T9o,12,400
T6s,4,412
Q2s,4,416
A9o,12,420
53s,4,432
85s,4,436
J6s,4,440
J9o,12,444
K9o,12,456
J5s,4,468
Q9o,12,472
43s,4,484
74s,4,488
J4s,4,492
J3s,4,496
95s,4,500
J2s,4,504
63s,4,508
A8o,12,512
52s,4,524
T5s,4,528
84s,4,532
T4s,4,536
T3s,4,540
42s,4,544
T2s,4,548
98o,12,552
T8o,12,564
A5o,12,576
A7o,12,588
73s,4,600
A4o,12,604
32s,4,616
94s,4,620
93s,4,624
J8o,12,628
A3o,12,640
62s,4,652
92s,4,656
K8o,12,660
A6o,12,672
87o,12,684
Q8o,12,696
83s,4,708
A2o,12,712
82s,4,724
97o,12,728
72s,4,740
76o,12,744
K7o,12,756
65o,12,768
T7o,12,780
K6o,12,792
86o,12,804
54o,12,816
K5o,12,828
J7o,12,840
75o,12,852
Q7o,12,864
K4o,12,876
K3o,12,888
96o,12,900
K2o,12,912
64o,12,924
Q6o,12,936
53o,12,948
85o,12,960
T6o,12,972
Q5o,12,984
43o,12,996
Q4o,12,1008
Q3o,12,1020
74o,12,1032
Q2o,12,1044
J6o,12,1056
63o,12,1068
J5o,12,1080
95o,12,1092
52o,12,1104
J4o,12,1116
J3o,12,1128
42o,12,1140
J2o,12,1152
84o,12,1164
T5o,12,1176
T4o,12,1188
32o,12,1200
T3o,12,1212
73o,12,1224
T2o,12,1236
62o,12,1248
94o,12,1260
93o,12,1272
92o,12,1284
83o,12,1296
82o,12,1308
72o,12,1320
